"career.stage","personality.experience","country","personality.definition","personality.interpretation","repeatability.interpretation","repeatability.consistency","repeatability.comparison","single.measurements","unpartitioned.data","personality.data","comments","personality.definition.2","personality.interpretation.2","repeatability.interpretation.2","repeatability.comparison.2"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","I do not know","e) I do not know the answer","No","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","e) I do not know the answer"
"PhD researcher","No","Spain","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Master student (or earlier stage)","Yes, as a co-author","The Netherlands","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","I do not know","e) Both b) and c) are correct","In response to question 6: Only employed a single measurement per individual if it was the first time the individual was available for study as of that timepoint, or when the individual died before further measurements. Within a study that has been repeated for many years and was shown to be generally reliable for single-use (even though plasticity is acknowledged).","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Master student (or earlier stage)","No","The Netherlands","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a co-author","Spain","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","The Netherlands","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","f) I do not know",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","Yes","Yes","d) Three previous options are correct","The answer to Q8 is dependent on context.","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","The Netherlands","Between-individual differences in suites of behaviours","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","Yes","d) Three previous options are correct","Some questions are suggestive and not precise. For the rest a good survey. Good luck with the data","other","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","Spain","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","d) I do not know the answer","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","f) I do not know",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","d) I do not know the answer","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","Yes, but I was not aware of it when I used it","b) A single behavioural measurement per individual if the focal behaviour is repeatable",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","UK","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","The likelihood an individual will perform the same behaviour under the same conditions ","Yes","e) I do not know the answer","N/A","N/A","c) Repeated behavioural measurements per individual","I think studies investigating animal personality often fail to account for other differences between individuals which may explain some of the variability between individuals. For example personality studies using open field/emergence test often do not account for effects of social status/dominance hierarchies that may explain much of the variability seen between individuals. ","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","The Netherlands","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","I do not know","d) Neither interpretations a) nor b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","I do not know","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","No","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","No","d) Three previous options are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Master student (or earlier stage)","No","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"PhD researcher","No","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Master student (or earlier stage)","No","Germany","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a co-author","Belgium","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Denmark","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual","Will you repeat this for intra-individual variability? My answers to some of the above would be different if it was possible to add statements on the consistency of inconsistent behaviour.","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","France","Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Switzerland","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","I do not know","e) Both b) and c) are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Spain","Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","I do not know","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","f) I do not know",NA,"Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Spain","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Belgium","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","No","Yes","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Thailand","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","c) Both interpretations a) and b) can be made","N/A","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","Ireland","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a co-author","Australia","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","I do not know","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","Belgium","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Portugal","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","I do not know","c) Both interpretations a) and b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","A metric quantifying the tendency of individuals to behave consistently across time or contexts","Yes","d) Neither interpretations a) nor b) can be made","N/A","No","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","d) Neither interpretations a) nor b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual","In addition to collecting repeated behavioral data, individual differences in personality traits can also be assed via human ratings ","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a co-author","The Netherlands","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","No","e) Both b) and c) are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Canada","Variation among individuals in the intercept of their behavioural reaction norm","d) I do not know the answer","d) I do not know the answer","I do not know","e) I do not know the answer","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","d) I do not know the answer","d) I do not know the answer","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","USA","Consistent between-individual differences in behaviour across time and/or contexts","d) I do not know the answer","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","N/A","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","d) I do not know the answer","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Master student (or earlier stage)","No","The Netherlands","Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","I do not know","e) Both b) and c) are correct",NA,"Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Norway","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","Proportion of variation explained by individual differences","No","c) Both interpretations a) and b) can be made","Yes","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","N/A","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Master student (or earlier stage)","Yes, as a co-author","Germany","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Master student (or earlier stage)","Yes, as a co-author","USA","Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","c) Both a) and b) are correct","No","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","Yes","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","Canada","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual","I didn't understand question 7. Did you mean phenotypic data without information about individual identity?","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Estonia","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","individual consistency of behaviour in time","No","c) Both interpretations a) and b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","other","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","The Netherlands","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","see Boag and Lessels","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","e) Both b) and c) are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","other","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Ireland","Consistent between-individual differences in single or multiple behaviours across time and ecological context  ","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","Yes","f) I do not know","the answer to 8 depends on the question and how many assumptions you are happy to make, but that is a matter of opinion and some referees are now insisting on multiple measures of multiple behaviours, or in multiple contexts. Fine if you are focused on a statistical/QG approach ","other","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
